Institution,MNI,AFO
Museum of Osteopathic Medicine,39,0
Brazos Valley Museum of Natural History,39,0
History Nebraska (formerly Nebraska State Historical Society),39,73
Anniston Museum of Natural History,39,195
Stanford Univ. Heritage Services,36,0
Univ. of Southern Mississippi,36,146
Memphis Pink Palace Museum,35,0
Cleveland State Univ.,35,0
Foothill-De Anza Community College District,35,1000
Georgia Power,33,12
Wichita State Univ.,33,1
Eastern Arizona College Foundation,32,4
Univ. of the Incarnate Word,32,0
Sul Ross State Univ.,31,518
Springfield Science Museum,31,109
Maine State Museum,31,22
Michigan SHPO,30,26
Oakland Museum of California,28,8
The History Museum,28,0
Heidelberg University,27,2
Western Illinois University,26,95
Cranbrook Institute of Science,26,0
Wagner Free Institute of Science,26,14
Houston Museum of Natural Science,26,0
Univ. of Rhode Island,26,0
Montana State Univ.,25,146
Univ. of Montana,25,42
Santa Cruz Museum of Natural History,24,16
Kansas State University,24,381
Cook County Forest Preserve District,23,0
Idaho State Univ.,22,145
State of Alaska Medical Examiner Office,22,0
Wayne State Univ.,21,145
Louisiana Dept. of Culture,21,2
Missouri State University,20,5
Kansas City Museum,20,0
East Bay Municipal Utility District,19,2839
Oklahoma Historical Society,19,7
U.S. Dept. of Energy,19,9
Texas Parks and Wildlife,17,60
Jacksonville State Univ.,17,0
Poverty Point World Heritage Site,17,0
Montana Historical Society,16,4
Tippecanoe County Historical Association,16,0
Louisiana State Exhibit Museum,16,0
Univ. of Colorado,15,0
Missouri Historical Society,15,263
Nantucket Historical Association,15,0
Dartmouth College,15,46
Henry County Historical Society,15,0
Buffalo State College,15,22
Univ. of West Florida,14,37
New Harmony Workingmen's Institute,14,0
Oregon Historical Society,14,0
Metropolitan State University of Denver,13,0
Pennsylvania State Univ.,13,1
Detroit Institute of Arts,13,8
Heard Museum,13,124
Santa Barbara Museum of Natural History,12,15
Spratt-Mead Museum,12,0
Texas Historical Commission,11,8
Willamette Univ.,11,3
The Discovery Museum - Science and Space Center,11,0
Peabody Essex Museum,11,25
Klamath County Museum,10,1
San Diego Mesa College,10,0
Putnam Museum,10,0
Columbus Museum,10,0
Univ. of Tennessee at Chattanooga,10,37
U.S. Environmental Protection Agency,9,1
Ohio Univ.,9,0
Washington Univ.,9,12
Fine Arts Museums of San Francisco,9,0
Phillip and Patricia Frost Museum of Science,9,0
Alaska Office of History and Archeology,9,156
Discovery Place,9,0
Goodhue County Historical Society,8,1
Speed Art Museum,8,0
Pueblo Grande Museum,8,5
Chadron State College,8,4
Stamford Museum and Nature Center,8,0
Texas Dept. of Transportation,8,66
Coryell County Sheriff's Department,8,0
Univ. of Idaho,8,0
Eastern California Museum of Inyo County,8,6
Georgia Southern Univ.,7,84
San Mateo County Community College District,7,8
Warren County Historical Society,7,14
Seton Hall University,7,6
Univ. of Northern Iowa,7,0
Clark County Historical Museum,7,0
Univ. of Akron,7,144
Univ. of Texas Permian Basin,7,2
Appalachian State Univ.,6,1
Fort Concho NHL,6,0
Fort Ticonderoga,6,2894
Univ. of Central Missouri,6,960
Univ. of North Texas,6,2
Palmer Foundation for Chiropractic History,6,0
Kenosha Public Museum,6,0
Navajo County Coroner,6,0
Bridgewater College,6,180
Univ. of Notre Dame,6,0
Grout Museum of History and Science,6,0
Arkansas Archeological Survey,5,0
Capital City Museum,5,0
Minnesota Historical Society,5,0
Maryland Center for History and Culture (formerly Maryland Historical Society),5,0
Triton Museum of Art,5,0
Vassar College,5,0
Layland Museum,5,8
Elgin Public Museum,5,1
Hardin County Historical Museums,5,3
St. Louis Science Center,5,0
College of Southern Idaho,5,2
High Desert Museum,5,5
New Jersey State Museum,5,0
Rocky Ford Historical Museum,5,0
Richmond Museum of History,5,0
Buffalo Bill Center of the West,5,1
Wesleyan Univ.,5,0
Koshare Indian Museum,4,0
Cape Cod Museum of Natural History,4,1
Brooklyn Museum,4,22
Maine Archaeological Society,4,15
West Valley College,4,0
Arizona Museum of Natural History,4,3
Museum of Natural History and Planetarium,4,0
Staten Island Institute of Arts and Sciences,4,0
Southern Oregon Univ.,4,0
Hartwick College,3,37
Coe College,3,1
Salisbury House,3,0
Museum of Riverside,3,0
Warren County Cultural and Heritage Commission,3,0
Washington State University,3,0
Aurora Historical Society,3,0
College of the Ozarks,3,0
Louisiana Cultural Heritage Museum,3,0
South Georgia State College,3,3
Univ. of Southern Indiana,3,0
Kingman Museum,3,0
Lackawanna Historical Society,3,0
Columbia College,3,0
Utah State Univ.,3,0
Santa Clara Univ.,3,16
Fort Worth Museum Science and History,3,0
Madison County Historical Society,3,0
Loxahatchee Historical Society,3,0
Whitman College,2,0
Western New Mexico Univ. Museum,2,2
Worcester Historical Museum,2,0
Washington County Historical Society,2,0
Univ. of Central Arkansas,2,0
Natick History Museum,2,0
Charlotte Museum of History,2,0
Berkshire Museum,2,0
Goshen College,2,0
Diablo Valley College,2,0
Jersey City Museum,2,1
Johnson-Humrickhouse Museum,2,0
Kalamazoo Valley Museum,2,0
Maine Historical Society,2,0
Colorado College,2,2
McWane Science Center,2,15
Colgate University,2,0
City of Oakland Rotary Nature Center,2,0
Chemung Valley Historical Society,2,0
Central Michigan Univ.,2,2
Broome County Historical Society,2,0
Boston Children's Museum,2,0
Fellow-Reeve Museum of History and Science,2,0
Sharlot Hall Museum,2,1
Pima Community College,2,0
Augusta Museum of History,2,0
The Heritage Museum of the Texas Hill Country,2,0
Artesia Historical Museum and Art Center,2,0
Alaska State Museum,2,0
Rutgers Univ.,2,0
Alma College,2,3
Stuhr Museum of the Prairie Pioneer,2,0
Shiloh Museum of Ozark History,2,0
Crocker Art Museum,1,0
Fairbanks Museum and Planetarium,1,0
Everhart Museum,1,0
Univ. of the Pacific,1,0
Eckerd College,1,0
Davis and Elkins College,1,0
Bixby Memorial Library,1,1
Cornell Univ.,1,0
Benton County Historical Society,1,0
American River College,1,0
Arizona State Capitol Museum,1,0
City of Santa Clara,1,1
City of Marietta,1,0
City of Fort Smith,1,0
Filson Historical Society,1,0
Cass County Historical Society Museum,1,0
Barnum Museum,1,0
Univ. of Alaska,1,0
Fredericksburg Area Museum,1,0
Univ. of Vermont,1,0
Pejepscot Historical Society,1,0
Univ. of North Carolina,1,0
Northwestern State Univ. of Louisiana,1,0
Univ. of New Hampshire,1,3
Old Trails Museum,1,0
Oneida County Historical Society,1,1
Palo Alto Junior Museum and Zoo,1,0
Pember Library and Museum,1,0
Univ. of Tulsa,1,0
Pierce County Medical Examiner's Office,1,0
Plimoth Patuxet Museum,1,0
Raymond M. Alf Museum of Paleontology,1,1
Saint Martin's Univ. Waynick Museum,1,0
Sullivan County Historical Society,1,0
Swansea Historical Society,1,1
Newark Museum,1,0
New Hampshire Division of Historical Resources,1,0
Murray State Univ.,1,0
Lane County Historical Museum,1,0
Fort Hays State University,1,0
Tread of Pioneers Museum,1,0
Grayson County Frontier Village Museum,1,0
Hutchinson County Historical Museum,1,0
Morris Museum,1,0
Karshner Museum,1,1
Mabee-Gerrer Museum of Art,1,0
Marblehead Historical Society,1,0
Meeteetse Museum,1,0
Miami County Museum,1,0
College of William and Mary,0,102
Valentine Museum,0,1
Dyer Library and Saco Museum,0,0
Salmon Ruins Museum,0,0
Clatsop County Historical Society,0,88
A.M. Chisholm Museum and Duluth Children's Museum,0,1
