MNI,AFO,StateName,CountyName,CountyFIPS
12,32,Indiana,Dearborn,18029
1,0,Indiana,Lawrence,18093
2,0,Indiana,Montgomery,18107
1,0,Indiana,Dearborn,18029
2,0,Indiana,Dearborn,18029
15,5,Indiana,Dearborn,18029
1,0,Indiana,Dearborn,18029
1,3,Illinois,St. Clair,17163
3,0,Ohio,Logan,39091
1,0,Illinois,Tazewell,17179
2,405,Indiana,Franklin,18047
8,27,Indiana,Franklin,18047
10,0,Indiana,Franklin,18047
1,176,Indiana,Franklin,18047
14,515,Indiana,Franklin,18047
6,0,Illinois,Randolph,17157
1,0,Illinois,Randolph,17157
51,545,Indiana,Sullivan,18153
1,0,Ohio,Hamilton,39061
8,0,Illinois,St. Clair,17163
4,1,Indiana,Vigo,18167
1,0,Illinois,Fulton,17057
3,0,Illinois,Fulton,17057
4,0,Illinois,Fulton,17057
4,0,Illinois,Fulton,17057
21,0,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
11,0,Illinois,Fulton,17057
15,0,Illinois,Fulton,17057
1,1,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
8,0,Illinois,Fulton,17057
24,0,Illinois,Fulton,17057
8,0,Illinois,Fulton,17057
6,0,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
18,0,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
25,0,Illinois,Fulton,17057
3,0,Illinois,Fulton,17057
121,0,Illinois,Fulton,17057
2,0,Illinois,Fulton,17057
54,1075,Indiana,Clark,18019
33,149,Indiana,Clark,18019
2,234,Indiana,Clark,18019
1,0,Indiana,Knox,18083
1,0,Indiana,Knox,18083
38,0,Illinois,Fulton,17057
28,0,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
64,0,Illinois,Fulton,17057
5,0,Illinois,Fulton,17057
4,0,Illinois,Fulton,17057
9,0,Illinois,Fulton,17057
19,0,Illinois,Fulton,17057
2,0,Illinois,Fulton,17057
117,71,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
27,0,Illinois,Fulton,17057
50,0,Illinois,Fulton,17057
1,0,Illinois,Fulton,17057
35,0,Illinois,Fulton,17057
8,0,Illinois,Fulton,17057
5,0,Illinois,Jackson,17077
1,0,Illinois,La Salle,17099
2,0,Illinois,La Salle,17099
54,0,Illinois,Adams,17001
2,41,Illinois,Adams,17001
30,0,Illinois,Adams,17001
8,0,Illinois,Adams,17001
10,0,Illinois,Adams,17001
1,0,Indiana,Marion,18097
29,166,Indiana,Marion,18097
1,0,Indiana,Marion,18097
8,132,Indiana,Marion,18097
1,0,Indiana,Marion,18097
48,0,Illinois,La Salle,17099
1,2,Indiana,Perry,18123
29,26,Indiana,Warrick,18173
6,0,Indiana,Warrick,18173
2,0,Illinois,Jackson,17077
2,1,Illinois,Crawford,17033
2,0,Illinois,Jackson,17077
3,15,Indiana,Hamilton,18057
1,0,Illinois,Iroquois,17075
12,0,Illinois,Mason,17125
11,0,Illinois,Mason,17125
17,0,Illinois,Schuyler,17169
39,0,Illinois,Hardin,17069
3,0,Illinois,Schuyler,17169
4,0,Indiana,Porter,18127
2,0,Missouri,Jackson,29095
41,0,Indiana,Greene,18055
43,0,Indiana,Greene,18055
1,7,Indiana,Greene,18055
4,12,Indiana,Greene,18055
3,1,Ohio,Lorain,39093
5,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
1,0,Indiana,Posey,18129
348,0,Illinois,Greene,17061
137,0,Illinois,Greene,17061
1,0,Indiana,Lake,18089
257,0,Illinois,Greene,17061
1,0,Illinois,Greene,17061
4,0,Indiana,Spencer,18147
12,144,Indiana,Jackson,18071
1,0,Indiana,Harrison,18061
7,1,Indiana,Harrison,18061
1,0,Indiana,Harrison,18061
241,0,Illinois,Will,17197
3,0,Illinois,Clark,17023
1,0,Idaho,Bonner,16017
224,0,Illinois,Will,17197
37,0,Illinois,Will,17197
